input,intent,response
நான் எதையும் சாதிக்க முடியாது,hopelessness,"நீங்கள் திறமைமிக்கவர், முயற்சி செய்யுங்கள்! 🌟"
நான் நன்றாக இல்லை,motivational,"நீ இன்று சிறந்த பதில்களை எடுத்துக்கொள்ளலாம்! 😄"
நான் சுயமரியாதை பெற விரும்புகிறேன்,motivational,"நீங்கள் மிகச்சிறந்தவராக இருக்கிறீர்கள்! 💪"
நான் வாழ்வில் முன்னேற விரும்புகிறேன்,motivational,"நீங்கள் எந்த சவாலையும் வெல்ல முடியும்! 🌸"
நான் மனதிலிருந்து மகிழ்ச்சி பெற விரும்புகிறேன்,motivational,"சிரிப்பில் சக்தி உள்ளது! 😄"
நான் வலிமையாக இருக்க விரும்புகிறேன்,motivational,"நீங்கள் பலமானவர், நம்பிக்கை வைக்கவும்! 💛"
எனக்கு கஷ்டம் வருகிறது,stress,"மனதை அமைதியாக வைத்துக் கொள்ளவும். 🌿"
நான் தனிமையில் உணர்கிறேன்,sadness,"நீங்கள் ஒருபோதும் தனிமையில் இல்லை. 🤗"
என் மனதில் பதற்றம் அதிகம்,stress,"ஒரு சிறிய நடை அல்லது ஓய்வு எடுத்துக் கொள்ளுங்கள். 🌸"
நான் பயமாக இருக்கிறேன்,fear,"ஆழ்ந்த மூச்சு எடுத்து மனதை அமைதியாக்குங்கள். 😌"
நான் மனதில் வெறுப்பு உணர்கிறேன்,hopelessness,"இன்று ஒரு நல்ல தொடக்கம், முயற்சி செய்க! 💪"
நான் உதவி தேவை,help,"நீங்கள் என்னிடம் பேசலாம், நான் உங்களுடன் இருக்கிறேன்."
நான் சிந்திக்க முடியவில்லை,stress,"சில நிமிடங்கள் அமைதியாக இருக்கவும். 🌿"
நான் வலிமையாக உணர வேண்டும்,motivational,"நீ சக்திவாய்ந்தவர், தொடரவும்! 💛"
எனக்கு தீவிர உதவி தேவை,helpline,"நெருங்கிய மனநல ஹெல்ப்லைன்: 080 4611 0007 📞"
நான் வலியுடன் அழுகிறேன்,helpline,"உடனடி உதவி: 080 4611 0007 📞"
நான் மிகவும் கவலையில் இருக்கிறேன்,helpline,"தேவையானால் ஹெல்ப்லைனை தொடர்பு கொள்ளுங்கள்: 080 4611 0007 📞"
நான் ஒருவருடன் பேசவேண்டும்,helpline,"மனநல ஹெல்ப்லைன் எப்போதும் கிடைக்கிறது: 080 4611 0007 📞"
நான் சோர்வாக இருக்கிறேன்,sadness,"ஓய்வெடுத்து சிரியுங்கள், மனம் சாந்தியாகும்."
நான் அழுகிறேன்,sadness,"அழல் சரி, மனதை வெளியே விடுங்கள்."
எனக்கு பதற்றம் இருக்கிறது,stress,"ஆழ்ந்த மூச்சு எடுத்து சாந்தியாய் இருங்கள்."
எனக்கு வேலை செய்ய முடியவில்லை,stress,"சிறிது ஓய்வு எடுத்து முயற்சி செய்யுங்கள்."
உதவி வேண்டும்,help,"நான் உதவ தயாராக இருக்கிறேன்!"
எனக்கு helpline தேவை,helpline,"1800-123-4567"
வாழ்த்துகள்!,motivation,"நீங்கள் சிறந்தவராக இருக்கிறீர்கள்!"
நீ மிகவும் திறமைமிக்கவர்,motivation,"உங்கள் முயற்சி வெற்றியை உருவாக்கும்!"
நான் பயப்படுகிறேன்,stress,"துணிந்தால் நீங்கள் எல்லாம் செய்யலாம்."
நான் தனிமையில் இருக்கிறேன்",sadness,"நீங்கள் தனிமையில் இல்லை, நான் உங்களுடன் இருக்கிறேன்."
enaku stress aagudhu,stress,"Take deep breaths and calm your mind."
naan happy illai,sadness,"Oru chinna smile try pannunga! 😄"
need help now,help,"I’m here to help you."
ennaku helpline number venum,helpline,"Call 1800-123-4567 for support."
today I feel sad,sadness,"It’s okay to feel sad, take care of yourself."
you can do it,motivation,"Believe in yourself and keep going!"
naan work panna mudiyadhu,stress,"Thanni kudikka try pannunga, relax!"
ennaku worry aagudhu,stress,"Don’t worry, everything will be fine."
ennaku motivate aaga venu",motivation,"Keep smiling, you’re doing great!"
sorgav irukku,sadness,"Don’t worry, you can overcome anything!"
நான் நம்பிக்கை இழந்துவிட்டேன்,hopelessness,"ஒவ்வொரு நாளும் புதிய தொடக்கம் உள்ளது 🌅"
என் மனம் தளர்ந்திருக்கிறது,sadness,"நீங்கள் வலிமையானவர், இது கடந்து போகும் 💪"
நான் மனதை அமைதியாக்க முடியவில்லை,stress,"ஆழ்ந்த மூச்சு எடுத்து 5 விநாடிகள் ஓய்வு எடுக்கவும் 🌬"
நான் பயத்துடன் இருக்கிறேன்,fear,"நீங்கள் பாதுகாப்பாக இருக்கிறீர்கள் 💛"
என் வாழ்க்கை கடினமாக இருக்கிறது,hopelessness,"கடின நேரம் தற்காலிகம், வலிமை நிலையானது 🌟"
எனக்கு மன அழுத்தம் அதிகம்,stress,"ஒரு சிறிய நடை எடுத்து மனதை தெளிவாக்குங்கள் 🌿"
நான் சிரிக்க முடியவில்லை,sadness,"சிரிப்பு ஒரு மருந்து, முயற்சி செய்து பாருங்கள் 😊"
எனக்கு யாரும் இல்லை என்று நினைக்கிறேன்,sadness,"நான் உங்களுடன் இருக்கிறேன் ❤️"
நான் முடிவு செய்ய முடியவில்லை,stress,"சிறிது நேரம் அமைதியாக இருங்கள், பதில் உங்களுக்குள் உள்ளது 🕊"
எனக்கு உதவி தேவைப்படுகிறது,help,"உதவி கேட்பது பலவீனம் அல்ல, வலிமை 💪"
என் மனதில் அச்சம் அதிகம்,fear,"பயத்தை கையாள முடியும், நம்புங்கள் 💛"
எனக்கு உற்சாகம் தேவை,motivation,"நீங்கள் இதை செய்ய முடியும்! 🔥"
நான் மனதில் சோகமாக இருக்கிறேன்,sadness,"சோகமும் ஒரு உணர்வு தான், அதை ஏற்றுக்கொள்ளுங்கள் 💫"
நான் உற்சாகமில்லாமல் இருக்கிறேன்,hopelessness,"சிறிய முயற்சி தொடங்குங்கள், ஆற்றல் திரும்பும் 💪"
நான் மனதில் வெறுமையாக இருக்கிறேன்,sadness,"சிறிது ஓய்வு எடுத்து உங்களை கவனியுங்கள் 🌼"
நான் மிகுந்த அழுத்தத்தில் இருக்கிறேன்,stress,"தண்ணீர் குடித்து ஆழ்ந்த மூச்சு விடுங்கள் 💧"
எனக்கு மன அமைதி தேவை,stress,"தியானம் செய்ய முயற்சி செய்யுங்கள் 🕊"
நான் தவறாக இருக்கிறேனா என்று தோன்றுகிறது,hopelessness,"நீங்கள் மனிதர், தவறுகள் வழக்கமானவை ❤️"
நான் தளர்ந்துபோய் இருக்கிறேன்,sadness,"ஒரு சிறிய ஓய்வு எடுத்துக்கொள்ளுங்கள் 🌸"
நான் பேச யாரும் இல்லை,help,"நான் கேட்க தயாராக இருக்கிறேன் 🤝"
எனக்கு பயம் வருகிறது,fear,"மூச்சை ஆழமாக எடுத்து மனதை அமைதியாக்குங்கள் 🌬"
நான் மனதில் உற்சாகம் பெற வேண்டும்,motivation,"நீங்கள் முயற்சித்தால் எதுவும் சாத்தியம்! 🌟"
என் வாழ்க்கை சரியில்லை என்று நினைக்கிறேன்,hopelessness,"நம்பிக்கை வைத்திருங்கள், நல்ல நாட்கள் வரும் 💫"
நான் மிகவும் தனிமையாக உணர்கிறேன்,sadness,"நீங்கள் ஒருபோதும் தனிமையில் இல்லை ❤️"
எனக்கு ஹெல்ப்லைன் எண் வேண்டும்,helpline,"Call 1800-123-4567 📞"
I feel lonely,sadness,"நீங்கள் தனியாக இல்லை, நான் உங்களுடன் இருக்கிறேன் 💛"
I am stressed,stress,"ஒரு சிறிய ஓய்வு எடுத்து ஆழ்ந்த மூச்சு விடுங்கள் 🌿"
I can’t handle this anymore,hopelessness,"நீங்கள் நினைப்பதற்கும் மேலாக வலிமையானவர் 💪"
I need someone to talk to,help,"நான் கேட்க தயார், தயங்காமல் பகிருங்கள் 💬"
I am scared,fear,"எல்லாம் சரியாகிவிடும், ஆழ்ந்த மூச்சு எடுக்கவும் 🌬"
I want to stay positive,motivation,"நம்பிக்கையை வைத்திருங்கள், நல்ல நாட்கள் வரும் 🌸"
I feel so down today,sadness,"இன்று ஓய்வு எடுத்து கொள்ளுங்கள், நாளை சிறப்பாக இருக்கும் 🌞"
I need motivation,motivation,"நீங்கள் முடியும்! நம்பிக்கை வையுங்கள் 🚀"
Life feels heavy,hopelessness,"ஒரு படி ஒரு படியாக முன்னேறுங்கள் 💫"
My heart feels empty,sadness,"சிறிய மகிழ்ச்சிகளை மனதில் நிரப்புங்கள் 🌼"
I feel anxious,stress,"மெதுவாக மூச்சு எடுத்து அமைதியாக இருங்கள் 🌿"
I need help urgently,helpline,"உடனடியாக 080 4611 0007 என்ற எண்ணுக்கு அழைக்கவும் 📞"
Naan romba upset ah iruken,sadness,"பரவாயில்லை, எல்லாம் சரியாகிவிடும் 💛"
Enakku nalla feel panna mudiyala,stress,"தண்ணீர் குடித்து, சிறிது ஓய்வு எடுங்கள் 🌸"
Enaku motivation venum,motivation,"நீ செய்ய முடியும்! உன்னை நம்பு 💪"
Enaku bayam aagudhu,fear,"ஆழ்ந்த மூச்சு எடுங்கள், எல்லாம் சரியாகிவிடும் 🌬"
Enaku lonely a iruku,sadness,"நான் உன்னுடன் பேசுகிறேன் 🤝"
Enaku manasu light a venum,stress,"சிறிது இசை கேளுங்கள் 🎶"
Na so gam a iruken,sadness,"ஒரு சிறிய சிரிப்பு புன்னகையுடன் தொடங்குங்கள் 😄"
I feel hopeless,hopelessness,"நம்பிக்கையை இழக்காதே, நீ தனியாக இல்லை 💫"
I want peace,stress,"ஆழ்ந்த மூச்சு எடுத்து மனதை அமைதியாக்குங்கள் 🌸"
Need helpline number,helpline,"உதவி எண்: 1800-123-4567 📞"
You inspire me,motivation,"அது அருமை! நீ தொடர்ந்து பிரகாசிக்கவும் 🌟"
நான் நம்பிக்கை இழந்துவிட்டேன்,hopelessness,"ஒவ்வொரு நாளும் புதிய தொடக்கம் உள்ளது 🌅"
என் மனம் தளர்ந்திருக்கிறது,sadness,"நீங்கள் வலிமையானவர் இது கடந்து போகும் 💪"
நான் மனதை அமைதியாக்க முடியவில்லை,stress,"ஆழ்ந்த மூச்சு எடுத்து 5 விநாடிகள் ஓய்வு எடுக்கவும் 🌬"
நான் பயத்துடன் இருக்கிறேன்,fear,"நீங்கள் பாதுகாப்பாக இருக்கிறீர்கள் 💛"
என் வாழ்க்கை கடினமாக இருக்கிறது,hopelessness,"கடின நேரம் தற்காலிகம் வலிமை நிலையானது 🌟"
எனக்கு மன அழுத்தம் அதிகம்,stress,"ஒரு சிறிய நடை எடுத்து மனதை தெளிவாக்குங்கள் 🌿"
நான் சிரிக்க முடியவில்லை,sadness,"சிரிப்பு ஒரு மருந்து முயற்சி செய்து பாருங்கள் 😊"
எனக்கு யாரும் இல்லை என்று நினைக்கிறேன்,sadness,"நான் உங்களுடன் இருக்கிறேன் ❤️"
நான் முடிவு செய்ய முடியவில்லை,stress,"சிறிது நேரம் அமைதியாக இருங்கள் பதில் உங்களுக்குள் உள்ளது 🕊"
எனக்கு உதவி தேவைப்படுகிறது,help,"உதவி கேட்பது பலவீனம் அல்ல வலிமை 💪"
என் மனதில் அச்சம் அதிகம்,fear,"பயத்தை கையாள முடியும் நம்புங்கள் 💛"
எனக்கு உற்சாகம் தேவை,motivation,"நீங்கள் இதை செய்ய முடியும்! 🔥"
நான் மனதில் சோகமாக இருக்கிறேன்,sadness,"சோகமும் ஒரு உணர்வு தான் அதை ஏற்றுக்கொள்ளுங்கள் 💫"
நான் உற்சாகமில்லாமல் இருக்கிறேன்,hopelessness,"சிறிய முயற்சி தொடங்குங்கள் ஆற்றல் திரும்பும் 💪"
நான் மனதில் வெறுமையாக இருக்கிறேன்,sadness,"சிறிது ஓய்வு எடுத்து உங்களை கவனியுங்கள் 🌼"
நான் மிகுந்த அழுத்தத்தில் இருக்கிறேன்,stress,"தண்ணீர் குடித்து ஆழ்ந்த மூச்சு விடுங்கள் 💧"
எனக்கு மன அமைதி தேவை,stress,"தியானம் செய்ய முயற்சி செய்யுங்கள் 🕊"
நான் தவறாக இருக்கிறேனா என்று தோன்றுகிறது,hopelessness,"நீங்கள் மனிதர் தவறுகள் வழக்கமானவை ❤️"
நான் தளர்ந்துபோய் இருக்கிறேன்,sadness,"ஒரு சிறிய ஓய்வு எடுத்துக்கொள்ளுங்கள் 🌸"
நான் பேச யாரும் இல்லை,help,"நான் கேட்க தயாராக இருக்கிறேன் 🤝"
எனக்கு பயம் வருகிறது,fear,"மூச்சை ஆழமாக எடுத்து மனதை அமைதியாக்குங்கள் 🌬"
நான் மனதில் உற்சாகம் பெற வேண்டும்,motivation,"நீங்கள் முயற்சித்தால் எதுவும் சாத்தியம்! 🌟"
என் வாழ்க்கை சரியில்லை என்று நினைக்கிறேன்,hopelessness,"நம்பிக்கை வைத்திருங்கள் நல்ல நாட்கள் வரும் 💫"
நான் மிகவும் தனிமையாக உணர்கிறேன்,sadness,"நீங்கள் ஒருபோதும் தனிமையில் இல்லை ❤️"
I want peace,stress,"ஆழ்ந்த மூச்சு எடுத்து மனதை அமைதியாக்குங்கள் 🌸"
Need helpline number,helpline,"உதவி எண்: 1800-123-4567 📞"
You inspire me,motivation,"அது அருமை! நீ தொடர்ந்து பிரகாசிக்கவும் 🌟"
Naan overthink panren,stress,"அதிகம் யோசிக்க வேண்டாம் அமைதியாக இருங்கள் 🌿"
Enaku depression madhri feel aagudhu,sadness,"நீங்கள் தனியாக இல்லை இதை கடந்து போகலாம் 💛"
Life romba pressure ah iruku,stress,"சிறிது ஓய்வு எடுத்து மூச்சை ஈடு விடுங்கள் 🌬"
I feel like crying,sadness,"அழுவது சரி தான், அது மனதை இலகுவாக்கும் 💧"
I want to give up,hopelessness,"இது முடிவு இல்லை இன்னும் வாய்ப்புகள் உண்டு 🌅"
Enaku support venum,help,"நான் உனக்கு உதவ தயாராக இருக்கிறேன் 🤝"
I miss my friends,sadness,"நினைவுகள் அழகானவ ஆனால் நீயும் முக்கியம் 🌸"
Enaku job illa,hopelessness,"வேலை கிடைக்கும் முயற்சி விடாதே 💪"
I feel worthless,hopelessness,"நீ மிகவும் மதிப்புடையவர் ❤️"
Enaku kalai illa,hopelessness,"ஒவ்வொருவருக்கும் தங்களது வேகம் இருக்கிறது 🌟"
Enaku stress relief tips venum,stress,"தியானம், இசை மற்றும் நடை — மூன்றும் நிம்மதி தரும் 🌿"
நான் மகிழ்ச்சியாக இருக்கிறேன்,happy,"அது அருமை! இந்த உணர்வை தொடர்ந்து வைத்திருங்கள் 🌞"
இன்று எனக்கு மகிழ்ச்சி நிறைந்த நாள்,happy,"நல்ல ஆற்றல் உங்கள் நாளை நிரப்பட்டும் 🌸"
நான் வெற்றி பெற்றேன்,motivation,"நீங்கள் அதைச் செய்தீர்கள்! பெருமைப்படுங்கள் 💪"
என் நண்பர்கள் எனக்கு உதவினர்,happy,"அது அற்புதம்! நண்பர்கள் வாழ்வின் செல்வம் 💛"
நான் மனதிற்கு அமைதியாக இருக்கிறேன்,happy,"அமைதி என்பது மிகப்பெரிய செல்வம் 🌿"
இன்று நான் நன்றாக உணர்கிறேன்,happy,"அதுவே வாழ்க்கையின் அழகு 🌼"
நான் நன்றி கூற விரும்புகிறேன்,gratitude,"நன்றியுணர்வு உங்கள் மனதை நிறைவேற்றும் 💫"
இன்று ஒரு நல்ல நாள்,motivation,"இன்று உங்களுக்காக சிறந்த வாய்ப்பு 🌞"
என் குடும்பம் எனக்கு ஆதரவாக இருக்கிறது,happy,"குடும்பம் ஒரு வலிமையான துணை 💕"
நான் வெற்றி பெறுவேன் என நம்புகிறேன்,motivation,"அந்த நம்பிக்கையே வெற்றியின் தொடக்கம் 🌟"
I am happy today,happy,"நான் உங்களுக்காக மகிழ்ச்சி அடைகிறேன்! 😊"
I feel so positive,motivation,"அந்த நல்ல எண்ணத்தை தொடர்ந்து வைத்திருங்கள் 🌸"
Today is a beautiful day,happy,"ஆம்! இன்று நிச்சயமாக ஒரு அழகான நாள் 🌞"
I achieved my goal,motivation,"வாழ்த்துக்கள்! உங்கள் முயற்சி பலித்தது 💪"
I feel thankful,gratitude,"நன்றி கூறும் மனம் எப்போதும் நிறைவாக இருக்கும் 💫"
I love my life,happy,"அது அருமை! வாழ்க்கையை அன்புடன் வாழுங்கள் ❤️"
I feel strong today,motivation,"அந்த வலிமையை காப்பாற்றுங்கள் 💪"
I am proud of myself,motivation,"நீங்கள் பெருமைப்படத்தக்கவர் 🌟"
Feeling blessed,happy,"நன்றி உணர்வுடன் நாளை தொடங்குங்கள் 💛"
My day went really well,happy,"அது கேட்டு மகிழ்ச்சி! தொடர்ந்து நலமாக இருங்கள் 🌼"
